2024-02-26 13:16:51.138239:Configuration: {
  "url": "http://localhost:3000/",
  "delay": 0.5,
  "interactions": 100,
  "load_wait_time": 10,
  "test_type": "monkey",
  "output_dir": "results"
}
2024-02-26 13:16:51.138250:Starting the test on URL: http://localhost:3000/
2024-02-26 13:16:57.662676:Web page loaded successfully.
2024-02-26 13:16:59.219837:Pre test coverage data: namespace(covered=33, blocks=98, percentage=0.336734693877551)
2024-02-26 13:16:59.219855:Opened website. | Coverage: 33.6734693877551%
2024-02-26 13:17:49.331590:Action 15: Monkey tester executiong: 'action: click element: <i id=":rh:" class="fas fa-chevron-down on-click"></i>' | Coverage: 78.57142857142857%
2024-02-26 13:17:52.676113:Action 16: Monkey tester executiong: 'action: click element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 78.57142857142857%
2024-02-26 13:17:56.228629:Action 17: Monkey tester executiong: 'action: hover element: <img id="1:r10:" src="./images/product-1.jpeg" alt="Galaxy S10 5G" class="product-img mouse-over">' | Coverage: 78.57142857142857%
2024-02-26 13:17:59.709292:Action 18: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 78.57142857142857%
2024-02-26 13:18:02.599693:Action 19: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 78.57142857142857%
2024-02-26 13:18:05.714026:Action 20: Monkey tester executiong: 'action: click element: <a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a>' | Coverage: 78.57142857142857%
2024-02-26 13:18:08.701949:Action 21: Monkey tester executiong: 'action: click element: <button id=":r11:" type="submit">Submit</button>' | Coverage: 78.57142857142857%
2024-02-26 13:18:11.703604:Action 22: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 78.57142857142857%
2024-02-26 13:18:15.540308:Action 23: Monkey tester executiong: 'action: send_keys(4IxkiJ) element: <input type="text" id=":r15:" class="" value="">' | Coverage: 78.57142857142857%
2024-02-26 13:18:19.188986:Action 24: Monkey tester executiong: 'action: send_keys(9ds) element: <input type="text" id=":r16:" class="" value="">' | Coverage: 78.57142857142857%
2024-02-26 13:18:22.431141:Action 25: Monkey tester executiong: 'action: send_keys(XMb8qi) element: <input type="text" id=":r17:" class="" value="">' | Coverage: 78.57142857142857%
2024-02-26 13:18:25.513397:Action 26: Monkey tester executiong: 'action: clear element: <input type="text" id=":r16:" class="error" value="9ds">' | Coverage: 78.57142857142857%
2024-02-26 13:18:29.070561:Action 27: Monkey tester executiong: 'action: click element: <button id=":r11:" type="submit">Submit</button>' | Coverage: 78.57142857142857%
2024-02-26 13:18:32.360266:Action 28: Monkey tester executiong: 'action: send_keys(kc2) element: <input type="text" id=":r12:" class="" value="">' | Coverage: 78.57142857142857%
2024-02-26 13:18:35.954972:Action 29: Monkey tester executiong: 'action: send_keys(SOx7c@gc) element: <input type="text" id=":r16:" class="error" value="9ds">' | Coverage: 78.57142857142857%
2024-02-26 13:18:39.017687:Action 30: Monkey tester executiong: 'action: clear element: <input type="text" id=":r12:" class="" value="kc2">' | Coverage: 78.57142857142857%
2024-02-26 13:18:42.154521:Action 31: Monkey tester executiong: 'action: send_keys(8j.pFiO@) element: <input type="text" id=":r12:" class="" value="kc2">' | Coverage: 78.57142857142857%
2024-02-26 13:18:45.272062:Action 32: Monkey tester executiong: 'action: send_keys(iM6 n9b) element: <input type="text" id=":r17:" class="" value="XMb8qi">' | Coverage: 78.57142857142857%
2024-02-26 13:18:48.865218:Action 33: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 78.57142857142857%
2024-02-26 13:18:52.090054:Action 34: Monkey tester executiong: 'action: send_keys(l.sKHmR) element: <input type="text" id=":r15:" class="" value="4IxkiJ">' | Coverage: 78.57142857142857%
2024-02-26 13:18:55.004819:Action 35: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 78.57142857142857%
2024-02-26 13:18:58.034259:Action 36: Monkey tester executiong: 'action: click element: <div id=":ra:" class="on-click cart-overlay transparentBcg"><div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"></div><div class="cart-footer"><h3>your total: <span class="cart-total">$0.00</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div></div>' | Coverage: 78.57142857142857%
2024-02-26 13:19:00.882945:Action 37: Monkey tester executiong: 'action: send_keys(pYS) element: <input type="text" id=":r17:" class="" value="XMb8qiiM6 n9b">' | Coverage: 78.57142857142857%
2024-02-26 13:19:04.703666:Action 38: Monkey tester executiong: 'action: send_keys(kIyBV) element: <input type="text" id=":r17:" class="" value="XMb8qiiM6 n9bpYS">' | Coverage: 78.57142857142857%
2024-02-26 13:19:07.961366:Action 39: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 78.57142857142857%
2024-02-26 13:19:11.094388:Action 40: Monkey tester executiong: 'action: clear element: <input type="text" id=":r17:" class="" value="XMb8qiiM6 n9bpYSkIyBV">' | Coverage: 78.57142857142857%
2024-02-26 13:19:14.551587:Action 41: Monkey tester executiong: 'action: send_keys(Fu0Uo4WN) element: <input type="text" id=":r16:" class="error" value="9dsSOx7c@gc">' | Coverage: 78.57142857142857%
2024-02-26 13:19:17.492969:Action 42: Monkey tester executiong: 'action: clear element: <input type="text" id=":r12:" class="" value="8j.pFiO@">' | Coverage: 78.57142857142857%
2024-02-26 13:19:20.558911:Action 43: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 78.57142857142857%
2024-02-26 13:19:23.573614:Action 44: Monkey tester executiong: 'action: click element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 78.57142857142857%
2024-02-26 13:19:27.379873:Action 45: Monkey tester executiong: 'action: click element: <a id=":r0:-m_series" class="" href="#/c/m_series">M Series</a>' | Coverage: 78.57142857142857%
2024-02-26 13:19:31.046401:Action 46: Monkey tester executiong: 'action: hover element: <img id="8:r1b:" src="./images/product-8.jpeg" alt="Galaxy M10" class="product-img mouse-over">' | Coverage: 78.57142857142857%
2024-02-26 13:19:34.220863:Action 47: Monkey tester executiong: 'action: click element: <a id=":r0:-home" class="" href="#/">Home</a>' | Coverage: 78.57142857142857%
2024-02-26 13:19:37.461661:Action 48: Monkey tester executiong: 'action: hover element: <img id="4:r1e:" src="./images/product-4.jpeg" alt="Galaxy S10e" class="product-img mouse-over">' | Coverage: 78.57142857142857%
2024-02-26 13:19:40.931712:Action 49: Monkey tester executiong: 'action: click element: <a id=":r0:-s10" class="" href="#/c/s10">S10</a>' | Coverage: 78.57142857142857%
2024-02-26 13:19:43.950533:Action 50: Monkey tester executiong: 'action: click element: <a id=":r0:-galaxy" class="" href="#/c/galaxy">Galaxy</a>' | Coverage: 78.57142857142857%
2024-02-26 13:19:47.892025:Action 51: Monkey tester executiong: 'action: click element: <button id="12:r1f:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 78.57142857142857%
2024-02-26 13:19:52.051476:Action 52: Monkey tester executiong: 'action: click element: <i id=":r1j:" class="fas fa-chevron-down on-click"></i>' | Coverage: 78.57142857142857%
2024-02-26 13:19:55.632069:Action 53: Monkey tester executiong: 'action: click element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 78.57142857142857%
2024-02-26 13:19:59.428521:Action 54: Monkey tester executiong: 'action: click element: <button id="9:r1f:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 78.57142857142857%
2024-02-26 13:20:03.429263:Action 55: Monkey tester executiong: 'action: click element: <div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"><div class="cart-item"><img src="./images/product-9.jpeg" alt="Galaxy A80"><div><h4>Galaxy A80</h4><h5>$386.99</h5><span id=":r1k:" class="remove-item on-click">remove</span></div><div><i id=":r1l:" class="fas fa-chevron-up on-click"></i><p class="item-amount">1</p><i id=":r1m:" class="fas fa-chevron-down on-click"></i></div></div></div><div class="cart-footer"><h3>your total: <span class="cart-total">$386.99</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div>' | Coverage: 78.57142857142857%
2024-02-26 13:20:07.918235:Action 56: Monkey tester executiong: 'action: click element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 78.57142857142857%
2024-02-26 13:20:11.670473:Action 57: Monkey tester executiong: 'action: click element: <a id=":r0:-galaxy" class="active" href="#/c/galaxy" aria-current="page">Galaxy</a>' | Coverage: 78.57142857142857%
2024-02-26 13:20:16.431618:Action 58: Monkey tester executiong: 'action: hover element: <img id="11:r1g:" src="./images/product-11.jpeg" alt="Galaxy A60" class="product-img mouse-over">' | Coverage: 78.57142857142857%
2024-02-26 13:20:20.476794:Action 59: Monkey tester executiong: 'action: hover element: <img id="12:r1g:" src="./images/product-12.jpeg" alt="Galaxy A30" class="product-img mouse-over">' | Coverage: 78.57142857142857%
2024-02-26 13:20:24.848466:Action 60: Monkey tester executiong: 'action: click element: <a id=":r0:-s10" class="" href="#/c/s10">S10</a>' | Coverage: 78.57142857142857%
2024-02-26 13:20:29.388479:Action 61: Monkey tester executiong: 'action: click element: <a id=":r0:-a_series" class="" href="#/c/a_series">A Series</a>' | Coverage: 78.57142857142857%
2024-02-26 13:20:32.772350:Action 62: Monkey tester executiong: 'action: hover element: <img id="10:r1g:" src="./images/product-10.jpeg" alt="Galaxy A70" class="product-img mouse-over">' | Coverage: 78.57142857142857%
2024-02-26 13:20:36.289491:Action 63: Monkey tester executiong: 'action: hover element: <img id="12:r1g:" src="./images/product-12.jpeg" alt="Galaxy A30" class="product-img mouse-over">' | Coverage: 78.57142857142857%
2024-02-26 13:20:39.495875:Action 64: Monkey tester executiong: 'action: click element: <button id="10:r1f:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 78.57142857142857%
2024-02-26 13:20:43.395605:Action 65: Monkey tester executiong: 'action: click element: <a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a>' | Coverage: 78.57142857142857%
2024-02-26 13:20:47.754935:Action 66: Monkey tester executiong: 'action: click element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 78.57142857142857%
2024-02-26 13:20:51.192752:Action 67: Monkey tester executiong: 'action: click element: <i id=":r1v:" class="fas fa-chevron-up on-click"></i>' | Coverage: 78.57142857142857%
2024-02-26 13:20:54.635528:Action 68: Monkey tester executiong: 'action: click element: <i id=":r1t:" class="fas fa-chevron-down on-click"></i>' | Coverage: 78.57142857142857%
2024-02-26 13:20:57.889058:Action 69: Monkey tester executiong: 'action: send_keys(2mNdy) element: <input type="text" id=":r28:" class="" value="">' | Coverage: 80.61224489795919%
2024-02-26 13:21:00.950999:Action 70: Monkey tester executiong: 'action: click element: <button id=":r1q:" type="submit">Submit</button>' | Coverage: 80.61224489795919%
2024-02-26 13:21:04.127627:Action 71: Monkey tester executiong: 'action: send_keys(vbxrg) element: <input type="text" id=":r28:" class="" value="2mNdy">' | Coverage: 80.61224489795919%
2024-02-26 13:21:07.798922:Action 72: Monkey tester executiong: 'action: send_keys(rWBAD0P) element: <input type="text" id=":r25:" class="" value="">' | Coverage: 80.61224489795919%
2024-02-26 13:21:10.979812:Action 73: Monkey tester executiong: 'action: send_keys(kqaw6b) element: <input type="text" id=":r25:" class="error" value="rWBAD0P">' | Coverage: 80.61224489795919%
2024-02-26 13:21:14.169869:Action 74: Monkey tester executiong: 'action: send_keys(kNIMu) element: <input type="text" id=":r26:" class="" value="">' | Coverage: 80.61224489795919%
2024-02-26 13:21:17.432583:Action 75: Monkey tester executiong: 'action: send_keys(GX9OIrJj0) element: <input type="text" id=":r23:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 13:21:20.495779:Action 76: Monkey tester executiong: 'action: clear element: <input type="text" id=":r28:" class="error" value="2mNdyvbxrg">' | Coverage: 81.63265306122449%
2024-02-26 13:21:23.539223:Action 77: Monkey tester executiong: 'action: send_keys(Vfl) element: <input type="text" id=":r22:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 13:21:27.035043:Action 78: Monkey tester executiong: 'action: clear element: <input type="text" id=":r25:" class="error" value="rWBAD0Pkqaw6b">' | Coverage: 81.63265306122449%
2024-02-26 13:21:30.413801:Action 79: Monkey tester executiong: 'action: send_keys(ggx) element: <input type="text" id=":r21:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 13:21:33.969066:Action 80: Monkey tester executiong: 'action: send_keys(mEzI8) element: <input type="text" id=":r25:" class="error" value="rWBAD0Pkqaw6b">' | Coverage: 81.63265306122449%
2024-02-26 13:21:37.205814:Action 81: Monkey tester executiong: 'action: click element: <i id=":r1s:" class="fas fa-chevron-up on-click"></i>' | Coverage: 81.63265306122449%
2024-02-26 13:21:40.410566:Action 82: Monkey tester executiong: 'action: send_keys(1nL) element: <input type="text" id=":r23:" class="error" value="GX9OIrJj0">' | Coverage: 81.63265306122449%
2024-02-26 13:21:43.439591:Action 83: Monkey tester executiong: 'action: send_keys(DNmjv) element: <input type="text" id=":r26:" class="" value="kNIMu">' | Coverage: 81.63265306122449%
2024-02-26 13:21:46.641410:Action 84: Monkey tester executiong: 'action: send_keys(XWSApZ1) element: <input type="text" id=":r24:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 13:21:49.801641:Action 85: Monkey tester executiong: 'action: clear element: <input type="text" id=":r28:" class="error" value="2mNdyvbxrg">' | Coverage: 81.63265306122449%
2024-02-26 13:21:53.214134:Action 86: Monkey tester executiong: 'action: send_keys(bD2GMq) element: <input type="text" id=":r25:" class="error" value="rWBAD0Pkqaw6bmEzI8">' | Coverage: 81.63265306122449%
2024-02-26 13:21:56.338538:Action 87: Monkey tester executiong: 'action: clear element: <input type="text" id=":r24:" class="" value="XWSApZ1">' | Coverage: 81.63265306122449%
2024-02-26 13:21:59.663755:Action 88: Monkey tester executiong: 'action: send_keys(F2F9y7R) element: <input type="text" id=":r25:" class="error" value="rWBAD0Pkqaw6bmEzI8bD2GMq">' | Coverage: 81.63265306122449%
2024-02-26 13:22:02.805958:Action 89: Monkey tester executiong: 'action: clear element: <input type="text" id=":r23:" class="error" value="GX9OIrJj01nL">' | Coverage: 81.63265306122449%
2024-02-26 13:22:05.954095:Action 90: Monkey tester executiong: 'action: send_keys(rrchguW5y) element: <input type="text" id=":r22:" class="" value="Vfl">' | Coverage: 81.63265306122449%
2024-02-26 13:22:09.235986:Action 91: Monkey tester executiong: 'action: clear element: <input type="text" id=":r28:" class="error" value="2mNdyvbxrg">' | Coverage: 81.63265306122449%
2024-02-26 13:22:13.758076:Action 92: Monkey tester executiong: 'action: clear element: <input type="text" id=":r21:" class="" value="ggx">' | Coverage: 81.63265306122449%
2024-02-26 13:22:17.664252:Action 93: Monkey tester executiong: 'action: send_keys(0o5z) element: <input type="text" id=":r26:" class="" value="kNIMuDNmjv">' | Coverage: 81.63265306122449%
2024-02-26 13:22:20.733938:Action 94: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">3</div></div>' | Coverage: 81.63265306122449%
2024-02-26 13:22:24.154820:Action 95: Monkey tester executiong: 'action: click element: <span id=":r1k:" class="remove-item on-click">remove</span>' | Coverage: 83.6734693877551%
2024-02-26 13:22:27.393233:Action 96: Monkey tester executiong: 'action: click element: <div id=":ra:" class="on-click cart-overlay transparentBcg"><div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"></div><div class="cart-footer"><h3>your total: <span class="cart-total">$0.00</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div></div>' | Coverage: 83.6734693877551%
2024-02-26 13:22:30.481886:Action 97: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 83.6734693877551%
2024-02-26 13:22:33.454964:Action 98: Monkey tester executiong: 'action: click element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 83.6734693877551%
2024-02-26 13:22:36.562592:Action 99: Monkey tester executiong: 'action: click element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 83.6734693877551%
2024-02-26 13:22:39.523737:Action 100: Monkey tester executiong: 'action: click element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 83.6734693877551%
2024-02-26 13:22:41.557928:Final coverage data: namespace(covered=82, blocks=98, percentage=0.8367346938775511)
2024-02-26 13:22:41.557950:Detailed coverage calculation explanation: Out of the total number of 98 blocks across all functions, 82 were covered (i.e., executed at least once during the test). This leads to a final coverage percentage of 83.6734693877551%. This percentage represents the ratio of the number of covered blocks to the total number of blocks, giving equal weight to each block.
2024-02-26 13:22:41.557956:Test run completed.
2024-02-26 13:22:41.616707:Past actions saved to: results/20240226_131651/past_actions.json
