2024-02-26 17:01:52.609172:Configuration: {
  "url": "http://localhost:3000/",
  "delay": 0.5,
  "interactions": 100,
  "load_wait_time": 10,
  "test_type": "gpt-4-turbo-preview",
  "output_dir": "results"
}
2024-02-26 17:01:52.609188:Starting the test on URL: http://localhost:3000/
2024-02-26 17:01:59.299536:Web page loaded successfully.
2024-02-26 17:02:00.638796:Pre test coverage data: namespace(covered=33, blocks=98, percentage=0.336734693877551)
2024-02-26 17:02:00.638810:Opened website. | Coverage: 33.6734693877551%
2024-02-26 17:03:33.828367:Action 16: Gpt-4-turbo-preview tester executiong: 'action: send_keys(1234 Main St.) element: <input type="text" id=":rp:" class="" value="">' | Coverage: 71.42857142857143%
2024-02-26 17:03:39.450351:Action 17: Gpt-4-turbo-preview tester executiong: 'action: send_keys(New York) element: <input type="text" id=":rq:" class="" value="">' | Coverage: 71.42857142857143%
2024-02-26 17:03:44.243573:Action 18: Gpt-4-turbo-preview tester executiong: 'action: send_keys(NY) element: <input type="text" id=":rr:" class="" value="">' | Coverage: 71.42857142857143%
2024-02-26 17:03:49.386048:Action 19: Gpt-4-turbo-preview tester executiong: 'action: send_keys(10001) element: <input type="text" id=":rs:" class="" value="">' | Coverage: 73.46938775510205%
2024-02-26 17:03:54.411796:Action 20: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 73.46938775510205%
2024-02-26 17:04:00.500792:Action 21: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-galaxy" class="" href="#/c/galaxy">Galaxy</a>' | Coverage: 73.46938775510205%
2024-02-26 17:04:05.898092:Action 22: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="11:rt:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 73.46938775510205%
2024-02-26 17:04:10.805919:Action 23: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":ra:" class="on-click cart-overlay transparentBcg"><div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"><div class="cart-item"><img src="./images/product-11.jpeg" alt="Galaxy A60"><div><h4>Galaxy A60</h4><h5>$289.99</h5><span id=":rv:" class="remove-item on-click">remove</span></div><div><i id=":r10:" class="fas fa-chevron-up on-click"></i><p class="item-amount">1</p><i id=":r11:" class="fas fa-chevron-down on-click"></i></div></div></div><div class="cart-footer"><h3>your total: <span class="cart-total">$289.99</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div></div>' | Coverage: 73.46938775510205%
2024-02-26 17:04:16.322199:Action 24: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 73.46938775510205%
2024-02-26 17:04:23.321086:Action 25: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="7:rt:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 73.46938775510205%
2024-02-26 17:04:29.294990:Action 26: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":rv:" class="remove-item on-click">remove</span>' | Coverage: 73.46938775510205%
2024-02-26 17:04:34.169474:Action 27: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 73.46938775510205%
2024-02-26 17:04:39.415528:Action 28: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 73.46938775510205%
2024-02-26 17:04:44.550030:Action 29: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="8:rt:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 73.46938775510205%
2024-02-26 17:04:49.769667:Action 30: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 73.46938775510205%
2024-02-26 17:04:55.297067:Action 31: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="9:rt:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 73.46938775510205%
2024-02-26 17:05:01.355142:Action 32: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r15:" class="remove-item on-click">remove</span>' | Coverage: 73.46938775510205%
2024-02-26 17:05:06.573949:Action 33: Gpt-4-turbo-preview tester executiong: 'action: click() element: <i id=":r16:" class="fas fa-chevron-up on-click"></i>' | Coverage: 76.53061224489795%
2024-02-26 17:05:12.597921:Action 34: Gpt-4-turbo-preview tester executiong: 'action: click() element: <i id=":r17:" class="fas fa-chevron-down on-click"></i>' | Coverage: 81.63265306122449%
2024-02-26 17:05:20.030938:Action 35: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r15:" class="remove-item on-click">remove</span>' | Coverage: 81.63265306122449%
2024-02-26 17:05:26.783978:Action 36: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 81.63265306122449%
2024-02-26 17:05:31.704821:Action 37: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="7:rt:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 81.63265306122449%
2024-02-26 17:05:37.618805:Action 38: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div>' | Coverage: 81.63265306122449%
2024-02-26 17:05:42.365416:Action 39: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 81.63265306122449%
2024-02-26 17:05:49.164117:Action 40: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">1</div></div>' | Coverage: 81.63265306122449%
2024-02-26 17:05:54.368854:Action 41: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1b:" class="remove-item on-click">remove</span>' | Coverage: 81.63265306122449%
2024-02-26 17:05:59.578041:Action 42: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 81.63265306122449%
2024-02-26 17:06:06.131376:Action 43: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-home" class="" href="#/">Home</a>' | Coverage: 81.63265306122449%
2024-02-26 17:06:10.968066:Action 44: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-galaxy" class="" href="#/c/galaxy">Galaxy</a>' | Coverage: 81.63265306122449%
2024-02-26 17:06:16.064136:Action 45: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="7:r1t:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 81.63265306122449%
2024-02-26 17:06:21.925770:Action 46: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1v:" class="remove-item on-click">remove</span>' | Coverage: 81.63265306122449%
2024-02-26 17:06:27.561461:Action 47: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a>' | Coverage: 81.63265306122449%
2024-02-26 17:06:32.658346:Action 48: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 81.63265306122449%
2024-02-26 17:06:39.472513:Action 49: Gpt-4-turbo-preview tester executiong: 'action: send_keys(John) element: <input type="text" id=":r23:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 17:06:45.609649:Action 50: Gpt-4-turbo-preview tester executiong: 'action: send_keys(Doe) element: <input type="text" id=":r24:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 17:06:50.899024:Action 51: Gpt-4-turbo-preview tester executiong: 'action: send_keys(john.doe@example.com) element: <input type="text" id=":r25:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 17:06:55.934306:Action 52: Gpt-4-turbo-preview tester executiong: 'action: send_keys(USA) element: <input type="text" id=":r26:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 17:07:03.650380:Action 53: Gpt-4-turbo-preview tester executiong: 'action: send_keys(1234 Main St) element: <input type="text" id=":r27:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 17:07:08.896460:Action 54: Gpt-4-turbo-preview tester executiong: 'action: send_keys(New York) element: <input type="text" id=":r28:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 17:07:19.471176:Action 55: Gpt-4-turbo-preview tester executiong: 'action: send_keys(NY) element: <input type="text" id=":r29:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 17:07:24.158167:Action 56: Gpt-4-turbo-preview tester executiong: 'action: send_keys(10001) element: <input type="text" id=":r2a:" class="" value="">' | Coverage: 81.63265306122449%
2024-02-26 17:07:29.858186:Action 57: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id=":r22:" type="submit">Submit</button>' | Coverage: 85.71428571428571%
2024-02-26 17:07:34.406871:Action 58: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 85.71428571428571%
2024-02-26 17:07:39.894479:Action 59: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-galaxy" class="" href="#/c/galaxy">Galaxy</a>' | Coverage: 85.71428571428571%
2024-02-26 17:07:45.566920:Action 60: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="7:r2b:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:07:51.521001:Action 61: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r2d:" class="remove-item on-click">remove</span>' | Coverage: 85.71428571428571%
2024-02-26 17:07:56.866900:Action 62: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 85.71428571428571%
2024-02-26 17:08:02.019021:Action 63: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="10:r2b:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:08:07.270462:Action 64: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r2g:" class="remove-item on-click">remove</span>' | Coverage: 85.71428571428571%
2024-02-26 17:08:12.403103:Action 65: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:08:17.988186:Action 66: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="10:r2b:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:08:22.946381:Action 67: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":ra:" class="on-click cart-overlay transparentBcg"><div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"><div class="cart-item"><img src="./images/product-10.jpeg" alt="Galaxy A70"><div><h4>Galaxy A70</h4><h5>$378.99</h5><span id=":r2j:" class="remove-item on-click">remove</span></div><div><i id=":r2k:" class="fas fa-chevron-up on-click"></i><p class="item-amount">1</p><i id=":r2l:" class="fas fa-chevron-down on-click"></i></div></div></div><div class="cart-footer"><h3>your total: <span class="cart-total">$378.99</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div></div>' | Coverage: 85.71428571428571%
2024-02-26 17:08:29.209704:Action 68: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r2j:" class="remove-item on-click">remove</span>' | Coverage: 85.71428571428571%
2024-02-26 17:08:34.979303:Action 69: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div>' | Coverage: 85.71428571428571%
2024-02-26 17:08:40.169814:Action 70: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-home" class="" href="#/">Home</a>' | Coverage: 85.71428571428571%
2024-02-26 17:08:46.062955:Action 71: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 85.71428571428571%
2024-02-26 17:08:50.649454:Action 72: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="2:r30:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:08:55.482767:Action 73: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:08:59.935828:Action 74: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="3:r30:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:09:06.584892:Action 75: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r35:" class="remove-item on-click">remove</span>' | Coverage: 85.71428571428571%
2024-02-26 17:09:10.964787:Action 76: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a>' | Coverage: 85.71428571428571%
2024-02-26 17:09:16.240947:Action 77: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r1:" class="Navbar-icon on-click"><i class="fas fa-bars"></i></span>' | Coverage: 85.71428571428571%
2024-02-26 17:09:21.038119:Action 78: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 85.71428571428571%
2024-02-26 17:09:26.388136:Action 79: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":ra:" class="on-click cart-overlay transparentBcg"><div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"></div><div class="cart-footer"><h3>your total: <span class="cart-total">$0.00</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div></div>' | Coverage: 85.71428571428571%
2024-02-26 17:09:31.276488:Action 80: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"></div><div class="cart-footer"><h3>your total: <span class="cart-total">$0.00</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div>' | Coverage: 85.71428571428571%
2024-02-26 17:09:36.693730:Action 81: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 85.71428571428571%
2024-02-26 17:09:42.379544:Action 82: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-home" class="" href="#/">Home</a>' | Coverage: 85.71428571428571%
2024-02-26 17:09:47.412773:Action 83: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-galaxy" class="" href="#/c/galaxy">Galaxy</a>' | Coverage: 85.71428571428571%
2024-02-26 17:09:53.981658:Action 84: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="7:r3k:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:10:00.475192:Action 85: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r3m:" class="remove-item on-click">remove</span>' | Coverage: 85.71428571428571%
2024-02-26 17:10:06.025762:Action 86: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div>' | Coverage: 85.71428571428571%
2024-02-26 17:10:11.406032:Action 87: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 85.71428571428571%
2024-02-26 17:10:17.507193:Action 88: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a>' | Coverage: 85.71428571428571%
2024-02-26 17:10:24.054822:Action 89: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-home" class="" href="#/">Home</a>' | Coverage: 85.71428571428571%
2024-02-26 17:10:28.578166:Action 90: Gpt-4-turbo-preview tester executiong: 'action: click() element: <a id=":r0:-galaxy" class="" href="#/c/galaxy">Galaxy</a>' | Coverage: 85.71428571428571%
2024-02-26 17:10:33.332332:Action 91: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="7:r45:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:10:40.348509:Action 92: Gpt-4-turbo-preview tester executiong: 'action: click() element: <i id=":r48:" class="fas fa-chevron-up on-click"></i>' | Coverage: 85.71428571428571%
2024-02-26 17:10:46.968594:Action 93: Gpt-4-turbo-preview tester executiong: 'action: click() element: <i id=":r49:" class="fas fa-chevron-down on-click"></i>' | Coverage: 85.71428571428571%
2024-02-26 17:10:51.874161:Action 94: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r47:" class="remove-item on-click">remove</span>' | Coverage: 85.71428571428571%
2024-02-26 17:10:57.918559:Action 95: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span>' | Coverage: 85.71428571428571%
2024-02-26 17:11:03.739405:Action 96: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id="7:r45:" class="bag-btn"><i class="fas fa-shopping-cart"></i>add to cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:11:09.596978:Action 97: Gpt-4-turbo-preview tester executiong: 'action: click() element: <span id=":r4a:" class="remove-item on-click">remove</span>' | Coverage: 85.71428571428571%
2024-02-26 17:11:16.272851:Action 98: Gpt-4-turbo-preview tester executiong: 'action: click() element: <button id=":r6:" class="clear-cart banner-btn">clear cart</button>' | Coverage: 85.71428571428571%
2024-02-26 17:11:21.385466:Action 99: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":r2:" class="Navbar-cart-btn on-click"><span class="Navbar-icon"><i class="fas fa-cart-plus"></i></span><div class="cart-items">0</div></div>' | Coverage: 85.71428571428571%
2024-02-26 17:11:26.355936:Action 100: Gpt-4-turbo-preview tester executiong: 'action: click() element: <div id=":ra:" class="on-click cart-overlay transparentBcg"><div id=":rb:" class="on-click cart showCart"><span id=":r9:" class="close-cart on-click"><i class="fas fa-window-close"></i></span><h2>Your cart</h2><div class="cart-content"></div><div class="cart-footer"><h3>your total: <span class="cart-total">$0.00</span></h3><button id=":r6:" class="clear-cart banner-btn">clear cart</button><a id=":r8:" href="#/checkout" style="text-decoration: none;"><div id=":r7:" class="banner-btn clear-cart on-click">Checkout</div></a></div></div></div>' | Coverage: 85.71428571428571%
2024-02-26 17:11:28.189666:Final coverage data: namespace(covered=84, blocks=98, percentage=0.8571428571428571)
2024-02-26 17:11:28.189688:Detailed coverage calculation explanation: Out of the total number of 98 blocks across all functions, 84 were covered (i.e., executed at least once during the test). This leads to a final coverage percentage of 85.71428571428571%. This percentage represents the ratio of the number of covered blocks to the total number of blocks, giving equal weight to each block.
2024-02-26 17:11:28.189695:Test run completed.
2024-02-26 17:11:28.250409:Past actions saved to: results/20240226_170152/past_actions.json
